sub_and_city,country
Abruzzo Region,Italy
Acre,Brazil
Aguascalientes,Mexico
Aichi Prefecture,Japan
Akita Prefecture,Japan
Alabama,United States
Alagoas,Brazil
Alaska,United States
Alberta,Canada
Albuquerque,United States
Alsace Region,France
Amapá,Brazil
Amazonas,Brazil
Amnat Charoen Province,Thailand
Amsterdam,Netherlands
Andalusia,Spain
Ang Thong Province,Thailand
Ann Arbor,United States
Annapolis,United States
Antofagasta Region,Chile
Antwerp Province,Belgium
Aomori Prefecture,Japan
Apulia Region,Italy
Aquitaine Region,France
Aragon,Spain
Araucanía Region,Chile
Arica and Parinacota Region,Chile
Arizona,United States
Arkansas,United States
Asturias,Spain
Atacama Region,Chile
Athens,Greece
Atlanta,United States
Auckland,New Zealand
Auckland Region,New Zealand
Austin,United States
Australian Capital Territory,Australia
Autonomous Region Aosta Valley,Italy
Autonomous Region Friuli-Venezia Giulia,Italy
Autonomous Region Sardinia,Italy
Autonomous Region Trentino-Alto Adige/Südtirol,Italy
Auvergne Region,France
Aysén del General Carlos Ibáñez del Campo Region,Chile
Bács-Kiskun County,Hungary
Baden-Württemberg,Germany
Bahia,Brazil
Bailiwick of Guernsey,UK
Bailiwick of Jersey,UK
Baja California,Mexico
Baja California Sur,Mexico
Bakersfield,United States
Balearic Islands,Spain
Baltimore,United States
Bangkok,Thailand
Banskobystrický kraj,Slovakia
Baranya County,Hungary
Barcelona,Spain
Basilicata Region,Italy
Basque Country,Spain
Bavaria,Germany
Bay of Plenty Region,New Zealand
Békés County,Hungary
Berlin,Germany
Biobío Region,Chile
Birmingham - Alabama,United States
Birmingham - UK,UK
Blekinge County,Sweden
Bochum - Dortmund,Germany
Borsod-Abaúj-Zemplén County,Hungary
Boston,United States
Brandenburg,Germany
Bratislavský kraj,Slovakia
Bridgeport,United States
Brisbane,Australia
British Columbia,Canada
Brittany Region,France
Brussels,Belgium
Budapest,Hungary
Bueng Kan Province,Thailand
Buenos Aires,Argentina
Burgenland,Austria
Burgundy Region,France
Buri Ram Province,Thailand
Busan Metropolitan City,Republic of Korea
Cairo,Egypt
Calabria Region,Italy
Calgary,Canada
California,United States
Campania Region,Italy
Campeche,Mexico
Canary Islands,Spain
Cantabria,Spain
Canterbury Region,New Zealand
Canton of Aargau,Switzerland
Canton of Appenzell Ausserrhoden,Switzerland
Canton of Appenzell Innerrhoden,Switzerland
Canton of Basel-Landschaft,Switzerland
Canton of Basel-Stadt,Switzerland
Canton of Bern,Switzerland
Canton of Fribourg,Switzerland
Canton of Geneva,Switzerland
Canton of Glarus,Switzerland
Canton of Graubünden,Switzerland
Canton of Jura,Switzerland
Canton of Lucerne,Switzerland
Canton of Neuchâtel,Switzerland
Canton of Nidwalden,Switzerland
Canton of Obwalden,Switzerland
Canton of Schaffhausen,Switzerland
Canton of Schwyz,Switzerland
Canton of Solothurn,Switzerland
Canton of St. Gallen,Switzerland
Canton of Thurgau,Switzerland
Canton of Ticino,Switzerland
Canton of Uri,Switzerland
Canton of Valais,Switzerland
Canton of Vaud,Switzerland
Canton of Zug,Switzerland
Canton of Zürich,Switzerland
Cape Town,South Africa
Capital Region of Denmark,Denmark
Carinthia,Austria
Carlow,Ireland
Castile and Leon,Spain
Castile-La Mancha,Spain
Catalonia,Spain
Cavan,Ireland
Ceará,Brazil
Central Bohemian Region,Czech Republic
Central Denmark Region,Denmark
Central District,Israel
Central Finland,Finland
Central Ostrobothnia,Finland
Centre Region,France
Ceuta,Spain
Chachoengsao Province,Thailand
Chai Nat Province,Thailand
Chaiyaphum Province,Thailand
Champagne-Ardenne Region,France
Chanthaburi Province,Thailand
Charlotte,United States
Chiang Mai Province,Thailand
Chiang Rai Province,Thailand
Chiapas,Mexico
Chiba Prefecture,Japan
Chicago,United States
Chihuahua,Mexico
Chon Buri Province,Thailand
Chumphon Province,Thailand
Chungcheongbuk-do,Republic of Korea
Chungcheongnam-do,Republic of Korea
Cincinnati,United States
Clare,Ireland
Cleveland,United States
Coahuila,Mexico
Colima,Mexico
Cologne,Germany
Colorado,United States
Colorado Spring,United States
Columbus,United States
Community of Madrid,Spain
Connecticut,United States
Copenhagen,Denmark
Coquimbo Region,Chile
Cork,Ireland
Corpus Christi,United States
Corsica Region,France
Csongrád County,Hungary
Daegu Metropolitan City,Republic of Korea
Dalarna County,Sweden
Dallas,United States
Delaware,United States
Delhi,India
Denver,United States
Detroit,United States
Diekirch District,Luxembourg
Distrito Federal (Brazil),Brazil
Donegal,Ireland
Drenthe,Netherlands
Dubai,United Arab Emirates
Dublin,Ireland
Durango,Mexico
Dusseldorf,Germany
East Flanders Province,Belgium
Eastern Cape,South Africa
Edmonton,Canada
Ehime Prefecture,Japan
Emilia-Romagna Region,Italy
England,UK
Espírito Santo,Brazil
Extremadura,Spain
Fejér County,Hungary
Flemish Brabant Province,Belgium
Flevoland,Netherlands
Florida,United States
Franche-Comté Region,France
Frankfurt,Germany
Free State,South Africa
Fresno,United States
Friesland,Netherlands
"Fuchien Province, Taiwan",Taiwan
Fukui Prefecture,Japan
Fukuoka,Japan
Fukuoka Prefecture,Japan
Fukushima Prefecture,Japan
Galicia,Spain
Galway,Ireland
Gangwon-do,Republic of Korea
Gauteng,South Africa
Gävleborg County,Sweden
Gelderland,Netherlands
Georgia,United States
Gifu Prefecture,Japan
Gisborne District,New Zealand
Goiás,Brazil
Gotland County,Sweden
Grand Rapids,United States
Greater Poland Province,Poland
Greensboro,United States
Grevenmacher District,Luxembourg
Groningen,Netherlands
Guadalajara,Mexico
Guam,United States
Guanajuato,Mexico
Guerrero,Mexico
Gunma Prefecture,Japan
Gwangju Metropolitan City,Republic of Korea
Gyeonggi-do,Republic of Korea
Gyeongsangbuk-do,Republic of Korea
Gyeongsangnam-do,Republic of Korea
Győr-Moson-Sopron,Hungary
Haifa District,Israel
Hainault Province,Belgium
Hajdú-Bihar County,Hungary
Halifax,Canada
Halland County,Sweden
Hamburg,Germany
Hartford,United States
Hawaii,United States
Hawke's Bay Region,New Zealand
Helsinki,Finland
Hesse,Germany
Heves County,Hungary
Hidalgo,Mexico
Hiroshima Prefecture,Japan
Hokkaido (Prefecture),Japan
Honolulu,United States
Houston,United States
Hradec Králové Region,Czech Republic
Hsin-chu,Taiwan
Hyogo Prefecture,Japan
Ibaraki Prefecture,Japan
Idaho,United States
Île-de-France Region,France
Illinois,United States
Incheon Metropolitan City,Republic of Korea
Indiana,United States
Indianapolis,United States
Iowa,United States
Ishikawa Prefecture,Japan
Isle of Man,UK
Istanbul,Turkey
Iwate Prefecture,Japan
Jacksonville,United States
Jakarta,Indonesia
Jalisco,Mexico
Jämtland County,Sweden
Jász-Nagykun-Szolnok County,Hungary
Jeju Special Autonomous Province,Republic of Korea
Jeollabuk-do,Republic of Korea
Jeollanam-do,Republic of Korea
Jerusalem District,Israel
Johannesburg,South Africa
Jönköping County,Sweden
Kagawa Prefecture,Japan
Kagoshima Prefecture,Japan
Kainuu,Finland
Kalasin Province,Thailand
Kalmar County,Sweden
Kamphaeng Phet Province,Thailand
Kanagawa Prefecture,Japan
Kanchanaburi Province,Thailand
Kansas,United States
Kansas City,United States
Kanta-Häme,Finland
"Kaohsiung City, Taiwan",Taiwan
Karlovy Vary Region,Czech Republic
Kentucky,United States
Kerry,Ireland
Khon Kaen Province,Thailand
Kildare,Ireland
Kilkenny,Ireland
Kochi Prefecture,Japan
Komárom-Esztergom County,Hungary
Košický kraj,Slovakia
Krabi Province,Thailand
Kronoberg County,Sweden
Kuala Lumpur,Malaysia
Kuiavia-Pomerania Province,Poland
Kumamoto Prefecture,Japan
KwaZulu-Natal,South Africa
Kymenlaakso,Finland
Kyoto Prefecture,Japan
La Rioja,Spain
Lampang Province,Thailand
Lamphun Province,Thailand
Languedoc,France
Laois,Ireland
Lapland Region,Finland
Las Vegas,United States
Lazio Region,Italy
Leeds,UK
Leitrim,Ireland
Lesser Poland Province,Poland
Lexington,United States
Liberec Region,Czech Republic
Libertador General Bernardo O'Higgins Region,Chile
Liège Province,Belgium
Liguria Region,Italy
Lille,France
Limburg,Netherlands
Limburg Province,Netherlands
Limerick,Ireland
Limousin Region,France
Limpopo,South Africa
Lodz Province,Poland
Loei Province,Thailand
Lombardy Region,Italy
London,UK
Longford,Ireland
Lop Buri Province,Thailand
Lorraine Region,France
Los Angeles,United States
Los Lagos Region,Chile
Los Ríos Region,Chile
Louisiana,United States
Louisville,United States
Louth,Ireland
Lower Austria,Austria
Lower Normandy Region,France
Lower Saxony,Germany
Lower Silesia Province,Poland
Lublin Province,Poland
Lubusz Province,Poland
Luxembourg District,Luxembourg
Luxembourg Province,Luxembourg
Lyon,France
Madison,United States
Madrid,Spain
Mae Hong Son Province,Thailand
"Magallanes and the Chilean Antartic Region, Magallanes and Chilean Antartica Region",Chile
Maha Sarakham Province,Thailand
Maine,United States
Manawatū-Whanganui Region,New Zealand
Manchester,UK
Manila,Philippines
Manitoba,Canada
Maranhão,Brazil
Marche Region,Italy
Marlborough Region,New Zealand
Maryland,United States
Masovia Province,Poland
Massachusetts,United States
Mato Grosso,Brazil
Mato Grosso do Sul,Brazil
Maule Region,Chile
Mayo,Ireland
Meath,Ireland
Mecklenburg-Vorpommern,Germany
Melbourne,Australia
Melilla,Spain
Memphis,United States
Mexico City,Mexico
Miami,United States
Michigan,United States
Michoacán,Mexico
Midi-Pyrénées Region,France
Mie Prefecture,Japan
Milan,Italy
Milwaukee,United States
Minas Gerais,Brazil
Minneapolis,United States
Minnesota,United States
Mississippi,United States
Missouri,United States
Miyagi Prefecture,Japan
Miyazaki Prefecture,Japan
Modesto,United States
Molise Region,Italy
Monaghan,Ireland
Montana,United States
Monterey,United States
Montreal,Canada
Moravian-Silesian Region,Czech Republic
Morelos,Mexico
Moscow,Russia
Mpumalanga,South Africa
Mukdahan Province,Thailand
Mumbai,India
Munich,Germany
Nagano Prefecture,Japan
Nagasaki Prefecture,Japan
Nagoya,Japan
Nakhon Nayok Province,Thailand
Nakhon Pathom Province,Thailand
Nakhon Phanom Province,Thailand
Nakhon Ratchasima Province,Thailand
Nakhon Sawan Province,Thailand
Nakhon Si Thammarat Province,Thailand
Namur Province,Belgium
Nan Province,Thailand
Nara Prefecture,Japan
Narathiwat Province,Thailand
Nashville,United States
Navarre,Spain
Nayarit,Mexico
Nebraska,United States
Nelson,New Zealand
Nevada,United States
New Brunswick,Canada
New Hampshire,United States
New Haven,United States
New Jersey,United States
New Mexico,United States
New Orleans,United States
New South Wales,Australia
"New Taipei City, Taiwan",Taiwan
New York,United States
New York City,United States
Newfoundland and Labrador,Canada
Niigata Prefecture,Japan
Nitriansky kraj,Slovakia
Nógrád County,Hungary
Nong Bua Lam Phu Province,Thailand
Nong Khai Province,Thailand
Nonthaburi Province,Thailand
Nord-Pas-de-Calais Region,France
Norrbotten County,Sweden
North Brabant,Netherlands
North Carolina,United States
North Dakota,United States
North Denmark Region,Denmark
North Holland,Netherlands
North Karelia,Finland
North Ostrobothnia,Finland
North Rhine-Westphalia,Germany
North West,UK
Northern Cape,South Africa
Northern District,Israel
Northern Ireland,UK
Northern Territory,Australia
Northland Region,New Zealand
North-Savo,Finland
Northwest Territories,Canada
Nova Scotia,Canada
Nuevo León,Mexico
Nunavut,Canada
Oaxaca,Mexico
Offaly,Ireland
Ohio,United States
Oita Prefecture,Japan
Okayama Prefecture,Japan
Okinawa Prefecture,Japan
Oklahoma,United States
Oklahoma City,United States
Olomouc Region,Czech Republic
Omaha,United States
Ontario,Canada
Opole Province,Poland
Örebro County,Sweden
Oregon,United States
Orlando,United States
Osaka,Japan
Osaka Prefecture,Japan
Oslo,Norway
Östergötland County,Sweden
Ostrobothnia,Finland
Otago Region,New Zealand
Ottawa,Canada
Overijssel,Netherlands
Päijät-Häme,Finland
Pará,Brazil
Paraíba,Brazil
Paraná,Brazil
Pardubice Region,Czech Republic
Paris,France
Pathum Thani Province,Thailand
Pattani Province,Thailand
Pays de la Loire Region,France
Pennsylvania,United States
Pernambuco,Brazil
Perth,Australia
Pest County,Hungary
Phang-nga Province,Thailand
Phatthalung Province,Thailand
Phayao Province,Thailand
Phetchabun Province,Thailand
Phetchaburi Province,Thailand
Phichit Province,Thailand
Philadelphia,United States
Phitsanulok Province,Thailand
Phoenix,United States
Phra Nakhon Si Ayutthaya Province,Thailand
Phrae Province,Thailand
Phuket Province,Thailand
Piauí,Brazil
Picardy Region,France
Piedmont Region,Italy
Pittsburgh,United States
Plzeň Region,Czech Republic
Podlachia Province,Poland
Poitou-Charentes Region,France
Pomerania Province,Sweden
Portland,United States
Prachin Buri Province,Thailand
Prachuap Khiri Khan Province,Thailand
Prague,Czech Republic
Prešovský kraj,Slovakia
Prince Edward Island,Canada
Provence-Alpes-Côte d'Azur Region,France
Providence,United States
Puebla,Mexico
Puerto Rico,United States
Quebec,Canada
Queensland,Australia
Querétaro,Mexico
Quintana Roo,Mexico
Raleigh,United States
Ranong Province,Thailand
Ratchaburi Province,Thailand
Rayong Province,Thailand
Region of Murcia,Spain
Region of Southern Denmark,Denmark
Region Zealand,Denmark
Rhineland-Palatinate,Germany
Rhode Island,United States
Rhône-Alpes Region,France
Richmond,United States
Rio de Janeiro,Brazil
Rio de Janeiro (state),Brazil
Rio Grande do Norte,Brazil
Rio Grande do Sul,Brazil
Riyadh,Saudi Arabia
Rochester,United States
Roi Et Province,Thailand
Rome,Italy
Rondônia,Brazil
Roraima,Brazil
Roscommon,Ireland
Rotterdam,Netherlands
Sa Kaeo Province,Thailand
Saarland,Germany
Sacramento,United States
Saga Prefecture,Japan
Saint Petersburg - Clearwater (Florida),United States
Saint Petersburg - Russia,Russia
Saitama Prefecture,Japan
Sakon Nakhon Province,Thailand
Salt Lake City,United States
Salzburg,Austria
Samut Prakan Province,Thailand
Samut Sakhon Province,Thailand
Samut Songkhram Province,Thailand
San Antonio,United States
San Diego,United States
San Francisco - Bay Area,United States
San Luis Potosí,Mexico
Santa Barbara,United States
Santa Catarina,Brazil
Santiago,Chile
Santiago Metropolitan Region,Chile
Sao Paulo,Brazil
São Paulo (state),Brazil
Saraburi Province,Thailand
Saskatchewan,Canada
Satakunta,Finland
Satun Province,Thailand
Saxony,Germany
Saxony-Anhalt,Germany
Scania County,Sweden
Schleswig-Holstein,Germany
Scotland,UK
Seattle,United States
Seoul,Republic of Korea
Seoul Special City,Republic of Korea
Sergipe,Brazil
Shiga Prefecture,Japan
Shimane Prefecture,Japan
Shizuoka Prefecture,Japan
Si Sa Ket Province,Thailand
Sicilian Region,Italy
Silesia Province,Poland
Sinaloa,Mexico
Sing Buri Province,Thailand
Sligo,Ireland
Södermanland County,Sweden
Somogy County,Hungary
Songkhla Province,Thailand
Sonora,Mexico
South Australia,Australia
South Bohemia Region,Czech Republic
South Carolina,United States
South Dakota,United States
South Holland,Netherlands
South Karelia,Finland
South Moravian Region,Czech Republic
South Ostrobothnia,Finland
South Savo,Finland
Southern District,Israel
Southland Region,New Zealand
South-West Finland,Finland
Spokane,United States
St. Louis,United States
State of Mexico,Mexico
Stockholm,Sweden
Stockholm County,Sweden
Stuttgart,Germany
Styria,Austria
Subcarpathia Province,Poland
Sukhothai Province,Thailand
Suphan Buri Province,Thailand
Surat Thani Province,Thailand
Surin Province,Thailand
Swietokrzyskie Province,Poland
Sydney,Australia
Szabolcs-Szatmár-Bereg County,Hungary
Tabasco,Mexico
Tacoma,United States
Taichung,Taiwan
"Taichung City, Taiwan",Taiwan
"Tainan City, Taiwan",Taiwan
Taipei,Taiwan
"Taipei City, Taiwan",Taiwan
Tak Province,Thailand
Tamaulipas,Mexico
Tampa,United States
Tampere Region,Finland
"Taoyuan City, Taiwan",Taiwan
Taranaki Region,New Zealand
Tarapacá Region,Chile
Tasman District,New Zealand
Tasmania,Australia
Tel Aviv,Israel
Tel Aviv District,Israel
Tennessee,United States
Texas,United States
The Free Hanseatic City of Bremen,Germany
Thuringia,Germany
Tijuana,Mexico
Tipperary,Ireland
Tlaxcala,Mexico
Tocantins,Brazil
Tochigi Prefecture,Japan
Tokushima Prefecture,Japan
Tokyo,Japan
Tokyo (Prefecture),Japan
Toledo,Spain
Tolna County,Hungary
Toronto,Canada
Tottori Prefecture,Japan
Toulouse,France
Toyama Prefecture,Japan
Trang Province,Thailand
Trat Province,Thailand
Trenčiansky kraj,Slovakia
Trnavský kraj,Slovakia
Tucson,United States
Tulsa,United States
Tuscany Region,Italy
Tyrol,Austria
Ubon Ratchathani Province,Thailand
Udon Thani Province,Thailand
Umbria Region,Italy
Upper Austria,Austria
Upper Normandy Region,France
Uppsala County,Sweden
Ústí nad Labem Region,Czech Republic
Utah,United States
Uthai Thani Province,Thailand
Utrecht,Netherlands
Uttaradit Province,Thailand
Uusimaa,Finland
Valencian Community,Spain
Valparaíso Region,Chile
Vancouver,Canada
Värmland County,Sweden
Vas County,Hungary
Västerbotten County,Sweden
Västernorrland County,Sweden
Västmanland County,Sweden
Västra Götaland County,Sweden
Veneto Region,Italy
Ventura,United States
Veracruz,Mexico
Vermont,United States
Veszprém County,Hungary
Victoria,Australia
Vienna,Austria
Virgin Islands,United States
Virginia,United States
Virginia Beach,United States
Vorarlberg,Austria
Vysočina Region,Czech Republic
Waikato Region,New Zealand
Wakayama Prefecture,Japan
Wales,UK
Walloon Brabant Province,Belgium
Warmia and Masuria Province,Poland
Washington,United States
Washington DC,United States
Waterford,Ireland
Wellington Region,New Zealand
West Coast Region,New Zealand
West Flanders Province,Belgium
West Pomeranian Province,Poland
West Virginia,United States
Western Australia,Australia
Western Cape,South Africa
Westmeath,Ireland
Wexford,Ireland
Wicklow,Ireland
Wisconsin,United States
Wyoming,United States
Yala Province,Thailand
Yamagata Prefecture,Japan
Yamaguchi Prefecture,Japan
Yamanashi Prefecture,Japan
Yasothon Province,Thailand
Yucatán,Mexico
Yukon Territory,Canada
Zacatecas,Mexico
Zala County,Hungary
Zeeland,Netherlands
Žilinský kraj,Slovakia
Zlín Region,Czech Republic
Zurich,Switzerland
Banská Bystrica Region,Slovakia
Bratislava Region,Slovakia
Győr-Moson-Sopron County,Hungary
Hainaut Province,Belgium
Košice Region,Slovakia
Magallanes and the Chilean Antarctic Region,Chile
Mazovia Province,Poland
Nitra Region,Slovakia
North Savo,Finland
Prešov Region,Slovakia
Sicily Region,Italy
Southwest Finland,Finland
Trenčín Region,Slovakia
Trnava Region,Slovakia
Warmia-Masuria Province,Poland
Žilina Region,Slovakia
Colorado Springs,United States
Fuchien Province,Taiwan
Kaohsiung City,Taiwan
New Taipei City,Taiwan
Taichung City,Taiwan
Tainan City,Taiwan
Taipei City,Taiwan
