subregion_Apple,subregion_Google
Alagoas,State of Alagoas
Amazonas,State of Amazonas
Bahia,State of Bahia
Ceará,State of Ceará
Distrito Federal (Brazil),Federal District
Espírito Santo,State of Espírito Santo
Goiás,State of Goiás
Maranhão,State of Maranhão
Mato Grosso,State of Mato Grosso
Mato Grosso do Sul,State of Mato Grosso do Sul
Minas Gerais,State of Minas Gerais
Pará,State of Pará
Paraíba,State of Paraíba
Paraná,State of Paraná
Pernambuco,State of Pernambuco
Piauí,State of Piauí
Rio de Janeiro (state),State of Rio de Janeiro
Rio Grande do Norte,State of Rio Grande do Norte
Rio Grande do Sul,State of Rio Grande do Sul
Rondônia,State of Rondônia
Roraima,State of Roraima
Santa Catarina,State of Santa Catarina
São Paulo (state),State of São Paulo
Sergipe,State of Sergipe
Tocantins,State of Tocantins
Yukon Territory,Yukon
Antofagasta Region,Antofagasta
Araucanía Region,Araucania
Biobío Region,Bio Bio
Coquimbo Region,Coquimbo
Libertador General Bernardo O'Higgins Region,O'Higgins
Los Lagos Region,Los Lagos
Los Ríos Region,Los Ríos
Magallanes and the Chilean Antarctic Region,Magallanes and Chilean Antarctica
Maule Region,Maule
Tarapacá Region,Tarapacá
Valparaíso Region,Valparaíso
South Bohemia Region,South Bohemian Region
Vysočina Region,Vysocina Region
Zlín Region,Zlin Region
Lapland Region,Lapland
North Ostrobothnia,Northern Ostrobothnia
North Savo,Northern Savonia
South Ostrobothnia,Southern Ostrobothnia
South Savo,Southern Savonia
Brittany Region,Brittany
Centre Region,Centre-Val de Loire
Corsica Region,Corsica
Île-de-France Region,Île-de-France
Pays de la Loire Region,Pays de la Loire
Provence-Alpes-Côte d'Azur Region,Provence-Alpes-Côte d'Azur
The Free Hanseatic City of Bremen,Bremen
Bács-Kiskun County,Bács-Kiskun
Baranya County,Baranya
Borsod-Abaúj-Zemplén County,Borsod-Abaúj-Zemplén
Csongrád County,Csongrád
Fejér County,Fejér
Győr-Moson-Sopron County,Gyor-Moson-Sopron
Hajdú-Bihar County,Hajdú-Bihar
Jász-Nagykun-Szolnok County,Jász-Nagykun-Szolnok
Komárom-Esztergom County,Komárom-Esztergom
Szabolcs-Szatmár-Bereg County,Szabolcs-Szatmár-Bereg
Veszprém County,Veszprém
Clare,County Clare
Cork,County Cork
Donegal,County Donegal
Galway,County Galway
Kerry,County Kerry
Kildare,County Kildare
Kilkenny,County Kilkenny
Laois,County Laois
Limerick,County Limerick
Louth,County Louth
Mayo,County Mayo
Meath,County Meath
Roscommon,County Roscommon
Sligo,County Sligo
Tipperary,County Tipperary
Waterford,County Waterford
Westmeath,County Westmeath
Wexford,County Wexford
Wicklow,County Wicklow
Central District,Center District
Northern District,North District
Southern District,South District
Abruzzo Region,Abruzzo
Apulia Region,Apulia
Autonomous Region Aosta Valley,Aosta
Autonomous Region Friuli-Venezia Giulia,Friuli-Venezia Giulia
Autonomous Region Sardinia,Sardinia
Autonomous Region Trentino-Alto Adige/Südtirol,Trentino-South Tyrol
Basilicata Region,Basilicata
Calabria Region,Calabria
Campania Region,Campania
Emilia-Romagna Region,Emilia-Romagna
Lazio Region,Lazio
Liguria Region,Liguria
Lombardy Region,Lombardy
Marche Region,Marche
Molise Region,Molise
Piedmont Region,Piedmont
Sicily Region,Sicily
Tuscany Region,Tuscany
Umbria Region,Umbria
Veneto Region,Veneto
Aichi Prefecture,Aichi
Akita Prefecture,Akita
Aomori Prefecture,Aomori
Chiba Prefecture,Chiba
Ehime Prefecture,Ehime
Fukui Prefecture,Fukui
Fukushima Prefecture,Fukushima
Gifu Prefecture,Gifu
Gunma Prefecture,Gunma
Hiroshima Prefecture,Hiroshima
Hokkaido (Prefecture),Hokkaido
Hyogo Prefecture,Hyogo
Ibaraki Prefecture,Ibaraki
Ishikawa Prefecture,Ishikawa
Iwate Prefecture,Iwate
Kagawa Prefecture,Kagawa
Kagoshima Prefecture,Kagoshima
Kanagawa Prefecture,Kanagawa
Kochi Prefecture,Kochi
Kumamoto Prefecture,Kumamoto
Kyoto Prefecture,Kyoto
Mie Prefecture,Mie
Miyagi Prefecture,Miyagi
Miyazaki Prefecture,Miyazaki
Nagano Prefecture,Nagano
Nagasaki Prefecture,Nagasaki
Nara Prefecture,Nara
Niigata Prefecture,Niigata
Oita Prefecture,Oita
Okayama Prefecture,Okayama
Okinawa Prefecture,Okinawa
Saga Prefecture,Saga
Saitama Prefecture,Saitama
Shiga Prefecture,Shiga
Shimane Prefecture,Shimane
Shizuoka Prefecture,Shizuoka
Tochigi Prefecture,Tochigi
Tokushima Prefecture,Tokushima
Tottori Prefecture,Tottori
Toyama Prefecture,Toyama
Wakayama Prefecture,Wakayama
Yamagata Prefecture,Yamagata
Yamaguchi Prefecture,Yamaguchi
Yamanashi Prefecture,Yamanashi
Nuevo León,Nuevo Leon
San Luis Potosí,San Luis Potosi
Yucatán,Yucatan
Bay of Plenty Region,Bay Of Plenty
Canterbury Region,Canterbury
Gisborne District,Gisborne
Hawke's Bay Region,Hawke's Bay
Manawatū-Whanganui Region,Manawatu-Wanganui
Marlborough Region,Marlborough
Northland Region,Northland
Otago Region,Otago
Southland Region,Southland
Taranaki Region,Taranaki
Tasman District,Tasman
Waikato Region,Waikato
Wellington Region,Wellington
West Coast Region,West Coast
Greater Poland Province,Greater Poland Voivodeship
Kuiavia-Pomerania Province,Kuyavian-Pomeranian Voivodeship
Lesser Poland Province,Lesser Poland Voivodeship
Lodz Province,Łódź Voivodeship
Lower Silesia Province,Lower Silesian Voivodeship
Lublin Province,Lublin Voivodeship
Lubusz Province,Lubusz Voivodeship
Mazovia Province,Masovian Voivodeship
Opole Province,Opole Voivodeship
Podlachia Province,Podlaskie Voivodeship
Silesia Province,Silesian Voivodeship
Subcarpathia Province,Podkarpackie Voivodeship
Swietokrzyskie Province,Świętokrzyskie Voivodeship
Warmia-Masuria Province,Warmian-Masurian Voivodeship
West Pomeranian Province,West Pomeranian Voivodeship
Pomerania Province,Pomeranian Voivodeship
Castile and Leon,Castile and León
Gävleborg County,Gavleborg County
Jämtland County,Jamtland County
Jönköping County,Jonkoping County
Scania County,Skåne County
Värmland County,Varmland County
Canton of Aargau,Aargau
Canton of Appenzell Ausserrhoden,Appenzell Ausserrhoden
Canton of Basel-Landschaft,Basel-Landschaft
Canton of Fribourg,Fribourg
Canton of Geneva,Geneva
Canton of Glarus,Glarus
Canton of Graubünden,Grisons
Canton of Jura,Jura
Canton of Lucerne,Lucerne
Canton of Neuchâtel,Neuchâtel
Canton of Nidwalden,Nidwalden
Canton of Obwalden,Obwalden
Canton of Schaffhausen,Schaffhausen
Canton of Schwyz,Schwyz
Canton of Solothurn,Solothurn
Canton of St. Gallen,St. Gallen
Canton of Thurgau,Thurgau
Canton of Ticino,Ticino
Canton of Valais,Valais
Canton of Vaud,Vaud
Washington DC,District of Columbia
Istanbul,İstanbul
Izmir,İzmir
Hiroshima,Hiroshima (city)
Kagoshima,Kagoshima (city)
Kumamoto,Kumamoto (city)
Niigata,Niigata (city)
Okayama,Okayama (city)
Shizuoka,Shizuoka (city)
Toyama,Toyama (city)
Geneva,Geneva (city)